village_name,created_time,nearest_health_centre
Ban Huay Keaw,2022-07-25 11:19:24,Ban Pa Pong
Ban Huay Kong Paw,2022-07-25 11:19:24,Ban Mae Su
Ban Huay Ma Nam,2022-07-25 11:19:24,Ban Na Doi
Ban Huay Maak Lang,2022-07-25 11:19:24,Ban Paw Naw Khi
Ban Huay Mai Sand,2022-07-25 11:19:24,Ban Mae Tho
Ban Huay Mai Sang,2022-07-25 11:19:24,Ban Mae La ka
Ban Huay Mak Lang,2022-07-25 11:19:24,
Ban Huay Mak Nam,2022-07-25 11:19:24,Ban Mae Ho
Ban Huay Mak Noon,2022-07-25 11:19:24,Ban Mae Tia
Ban Huay Moo,2022-07-25 11:19:24,Ban Huay Poo Ling
Ban Huay Na (Mae Sariang),2022-07-25 11:19:24,Ban Mae Lid Pa Kae
Ban Huay Nam Sai,2022-07-25 11:19:24,
Ban Huay Ngao,2022-07-25 11:19:24,Ban Huay Na
Ban Huay Ngoo,2022-07-25 11:19:24,Mae Sariang
Ban Huay Ngoo Luam,2022-07-25 11:19:24,Mae La Noi
Ban Huay Noong,2022-07-25 11:19:24,Ban Mae Surin
Ban Huay Pak Pai,2022-07-25 11:19:24,
Ban Huay Phak Kood,2022-07-25 11:19:24,Ban Pang Ung
Ban Huay Phan,2022-07-25 11:19:24,Ban Mae Surin
Ban Huay Pla Kang,2022-07-25 11:19:24,Ban Mae Ho
Ban Huay Ploo,2022-07-25 11:19:24,
Ban Huay Pong (Khun Yuam),2022-07-25 11:19:24,Ban Mae Jae
Ban Huay Poo Leoy,2022-07-25 11:19:24,Ban Huay Tong
Ban Huay Poo Ling,2022-07-25 11:19:24,
Ban Huay Sai,2022-07-25 11:19:24,
Ban Huay Ta Phaap,2022-07-25 11:19:24,Mae La Luang
Ban Huay Tong,2022-07-25 11:19:24,
Ban Huay Tong Jing,2022-07-25 11:19:24,Ban Mae Jae
Ban Huay Tong Kaw,2022-07-25 11:19:24,Ban Me Pang
Ban Huay Yao,2022-07-25 11:19:24,Ban Papae
Ban Huayn Maak lang,2022-07-25 11:19:24,
Ban Huey Tung,2022-07-25 11:19:24,In the village
Ban Huy Kae Pa,2022-07-25 11:19:24,
Ban Ka No,2022-07-25 11:19:24,
Ban Kaw Ka,2022-07-25 11:19:24,
Ban Kew Mae Oo Khor Noi,2022-07-25 11:19:24,Ban Pang Tong
Ban Kew Pak Ped,2022-07-25 11:19:24,Ban Huay Tong
Ban Kha Noon,2022-07-25 11:19:24,Ban Mae Lid Pa Kae
Ban Khun Mae Hu,2022-07-25 11:19:24,Ban Mae Pang Nok
Ban Khun Mae La Noi,2022-07-25 11:19:24,
Ban Khun Mae La Noi Tai,2022-07-25 11:19:24,
Ban Khun Mae La Tai,2022-07-25 11:19:24,Ban PaKae
Ban Khun Mae Song,2022-07-25 11:19:24,Ban Po Suar
Ban Khun Su,2022-07-25 11:19:24,
Ban Khun Wong Nua,2022-07-25 11:19:24,Ban Mae Ho
Ban Khun Wong Tai,2022-07-25 11:19:24,Ban Mae Ho
Ban Kiew Kha Min,2022-07-25 11:19:24,
Ban Ko Mai Loo,2022-07-25 11:19:24,Ban Papae
Ban Kok Luang,2022-07-25 11:19:24,In the village
Ban Kong Pae Tai,2022-07-25 11:19:24,
Ban Kor Moo Der,2022-07-25 11:19:24,Mae Sam Laeb
Ban Kra Baw Noi,2022-07-25 11:19:24,Ban Mae Sam Laep
Ban Kre Bor,2022-07-25 11:19:24,Mae Sam Laeb
Ban La Oop,2022-07-25 11:19:24,In the village
Ban Maak Noon,2022-07-25 11:19:24,
Ban Mae Au,2022-07-25 11:19:24,Ban Hua Pon
Ban Mae Bang,2022-07-25 11:19:24,Ban Mae Lui
Ban Mae Bor Tha,2022-07-25 11:19:24,Ban Pa Pae
Ban Mae Harn,2022-07-25 11:19:24,Ban Sop Harn
Ban Mae Hei,2022-07-25 11:19:24,Ban Mae Tho
Ban Mae Hor,2022-07-25 11:19:24,
Ban Mae Hu,2022-07-25 11:19:24,Ban Mae Hu
Ban Mae Ja Noi,2022-07-25 11:19:24,Ban Pha Bong
Ban Mae Jae,2022-07-25 11:19:24,In the village
Ban Mae Jang Bon,2022-07-25 11:19:24,Ban Mae Ho
Ban Mae Jaw Klang,2022-07-25 11:19:24,
Ban Mae Jaw Nua,2022-07-25 11:19:24,Ban Mae To
Ban Mae Jaw Tai,2022-07-25 11:19:24,
Ban Mae Jew Saw,2022-07-25 11:19:24,Ban Mae Tho
Ban Mae Kha Nua,2022-07-25 11:19:24,Ban Huay Muang
Ban Mae Khae Noi,2022-07-25 11:19:24,Ban Mae Sam Laep
Ban Mae Kheed Noi,2022-07-25 11:19:24,Ban Mae Kheed
Ban Mae Kho Joo,2022-07-25 11:19:24,Ban Mae La Ka
Ban Mae khor,2022-07-25 11:19:24,Ban Mae Ki
Ban Maw Ko Jaw,2022-07-25 11:19:24,Ban Paw Saw
Ban Mae Ko Pee,2022-07-25 11:19:24,Ban Mae Jae
Ban Mae Kor,2022-07-25 11:19:24,
Ban Mae Kwang Nua,2022-07-25 11:19:24,Ban Huay Phueng
Ban Mae Kwang Tai,2022-07-25 11:19:24,Ban Huay Phuang
Ban Mae La,2022-07-25 11:19:24,
Ban Mae La Ka,2022-07-25 11:19:24,Ban Mae La Ka
Ban Mae Lamong Nua,2022-07-25 11:19:24,Ban Mae Su
Ban Mae Lid,2022-07-25 11:19:24,
Ban Mae Lid -Pakae,2022-07-25 11:19:24,In the village
Ban Mae Lit Luang,2022-07-25 11:19:24,Ban Mae Lid Pa Kae
Ban Mae Na Jang Tai,2022-07-25 11:19:24,In the village
Ban Mae Najang,2022-07-25 11:19:24,
Ban Mae Najang Nua,2022-07-25 11:19:24,Ban Kok Luang
Ban Mae Nill Nok,2022-07-25 11:19:24,Ban Mae Na Chon
Ban Mae Nin Nai,2022-07-25 11:19:24,Ban Na Hong
Ban Mae Ookhor Noi,2022-07-25 11:19:24,Ban Pang Tong
Ban Mae Ookhor Nua,2022-07-25 11:19:24,Ban Pang Tong
Ban Mae Oom Pai Nua,2022-07-25 11:19:24,Ban Mae To
Ban Mae Oomong,2022-07-25 11:19:24,Pang Ma Pa
Ban Mae Oompai,2022-07-25 11:19:24,
Ban Mae Oompai Nua,2022-07-25 11:19:24,
