village_name,created_time,nearest_mathayom_seconary_id,nearest_pratom_primary_id
Ban Hua Ha (Khun Yuam),2022-07-25 11:19:24,,
Ban Hua La,2022-07-25 11:19:24,,zcrm_361303000001881116
Ban Hua Mae Surin,2022-07-25 11:19:24,,
Ban Hua Mae Tho,2022-07-25 11:19:24,zcrm_361303000000528036,zcrm_361303000000707052
Ban Hua Ngao,2022-07-25 11:19:24,,
Ban Hua Taad,2022-07-25 11:19:24,zcrm_361303000001881240,zcrm_361303000001881120
Ban Huang Puang (Tha Pha Pum),2022-07-25 11:19:24,,
Ban Huay Ba Ban,2022-07-25 11:19:24,,
Ban Huay Chai Yong,2022-07-25 11:19:24,,
Ban Huay Chang Kam,2022-07-25 11:19:24,,
Ban Huay Dua,2022-07-25 11:19:24,,
Ban Huay Hak Mai Ta,2022-07-25 11:19:24,,
Ban Huay Hia,2022-07-25 11:19:24,zcrm_361303000000704077,zcrm_361303000000704067
Ban Huay Hia Noi,2022-07-25 11:19:24,zcrm_361303000001881121,zcrm_361303000001881119
Ban Huay Hom,2022-07-25 11:19:24,zcrm_361303000001881245,zcrm_361303000001881245
Ban Huay Keaw,2022-07-25 11:19:24,zcrm_361303000001881253,
Ban Huay Kong Paw,2022-07-25 11:19:24,,
Ban Huay Ma Nam,2022-07-25 11:19:24,zcrm_361303000001881200,zcrm_361303000001881200
Ban Huay Maak Lang,2022-07-25 11:19:24,,zcrm_361303000001881169
Ban Huay Mai Sand,2022-07-25 11:19:24,zcrm_361303000000528036,
Ban Huay Mai Sang,2022-07-25 11:19:24,zcrm_361303000000461077,
Ban Huay Mak Lang,2022-07-25 11:19:24,,
Ban Huay Mak Nam,2022-07-25 11:19:24,zcrm_361303000000521194,zcrm_361303000001881172
Ban Huay Mak Noon,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881123
Ban Huay Moo,2022-07-25 11:19:24,zcrm_361303000000716157,zcrm_361303000001443590
Ban Huay Na (Mae Sariang),2022-07-25 11:19:24,zcrm_361303000000521194,zcrm_361303000001881174
Ban Huay Nam Sai,2022-07-25 11:19:24,,
Ban Huay Ngao,2022-07-25 11:19:24,zcrm_361303000000461077,zcrm_361303000001881125
Ban Huay Ngoo,2022-07-25 11:19:24,,
Ban Huay Ngoo Luam,2022-07-25 11:19:24,zcrm_361303000001881240,zcrm_361303000001881177
Ban Huay Noong,2022-07-25 11:19:24,,
Ban Huay Pak Pai,2022-07-25 11:19:24,,
Ban Huay Phak Kood,2022-07-25 11:19:24,zcrm_361303000000461077,
Ban Huay Phan,2022-07-25 11:19:24,,
Ban Huay Pla Kang,2022-07-25 11:19:24,zcrm_361303000000521090,zcrm_361303000001881126
Ban Huay Ploo,2022-07-25 11:19:24,,
Ban Huay Pong (Khun Yuam),2022-07-25 11:19:24,,zcrm_361303000001881133
Ban Huay Poo Leoy,2022-07-25 11:19:24,zcrm_361303000001881244,zcrm_361303000001443590
Ban Huay Poo Ling,2022-07-25 11:19:24,,zcrm_361303000001443590
Ban Huay Sai,2022-07-25 11:19:24,,
Ban Huay Ta Phaap,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881122
Ban Huay Tong,2022-07-25 11:19:24,,
Ban Huay Tong Jing,2022-07-25 11:19:24,zcrm_361303000000461077,zcrm_361303000001881178
Ban Huay Tong Kaw,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881122
Ban Huay Yao,2022-07-25 11:19:24,,zcrm_361303000001881118
Ban Huayn Maak lang,2022-07-25 11:19:24,,
Ban Huey Tung,2022-07-25 11:19:24,,
Ban Huy Kae Pa,2022-07-25 11:19:24,,
Ban Ka No,2022-07-25 11:19:24,,
Ban Kaw Ka,2022-07-25 11:19:24,,
Ban Kew Mae Oo Khor Noi,2022-07-25 11:19:24,,zcrm_361303000001881190
Ban Kew Pak Ped,2022-07-25 11:19:24,zcrm_361303000000716157,zcrm_361303000001881158
Ban Kha Noon,2022-07-25 11:19:24,zcrm_361303000000521194,zcrm_361303000001881149
Ban Khun Mae Hu,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881148
Ban Khun Mae La Noi,2022-07-25 11:19:24,zcrm_361303000000528038,
Ban Khun Mae La Noi Tai,2022-07-25 11:19:24,,
Ban Khun Mae La Tai,2022-07-25 11:19:24,,zcrm_361303000001881127
Ban Khun Mae Song,2022-07-25 11:19:24,zcrm_361303000000704077,zcrm_361303000001881179
Ban Khun Su,2022-07-25 11:19:24,,
Ban Khun Wong Nua,2022-07-25 11:19:24,zcrm_361303000000521090,zcrm_361303000001881129
Ban Khun Wong Tai,2022-07-25 11:19:24,zcrm_361303000000521090,zcrm_361303000001881130
Ban Kiew Kha Min,2022-07-25 11:19:24,,
Ban Ko Mai Loo,2022-07-25 11:19:24,zcrm_361303000001881182,zcrm_361303000001881115
Ban Kok Luang,2022-07-25 11:19:24,,zcrm_361303000000546079
Ban Kong Pae Tai,2022-07-25 11:19:24,,
Ban Kor Moo Der,2022-07-25 11:19:24,zcrm_361303000001611586,
Ban Kra Baw Noi,2022-07-25 11:19:24,zcrm_361303000001611586,
Ban Kre Bor,2022-07-25 11:19:24,zcrm_361303000001611586,
Ban La Oop,2022-07-25 11:19:24,,
Ban Maak Noon,2022-07-25 11:19:24,,
Ban Mae Au,2022-07-25 11:19:24,,
Ban Mae Bang,2022-07-25 11:19:24,zcrm_361303000001611586,
Ban Mae Bor Tha,2022-07-25 11:19:24,zcrm_361303000001881240,
Ban Mae Harn,2022-07-25 11:19:24,,
Ban Mae Hei,2022-07-25 11:19:24,zcrm_361303000000522050,zcrm_361303000001881146
Ban Mae Hor,2022-07-25 11:19:24,,
Ban Mae Hu,2022-07-25 11:19:24,,zcrm_361303000001881132
Ban Mae Ja Noi,2022-07-25 11:19:24,,zcrm_361303000000716157
Ban Mae Jae,2022-07-25 11:19:24,zcrm_361303000000461077,
Ban Mae Jang Bon,2022-07-25 11:19:24,zcrm_361303000001881131,zcrm_361303000001881134
